id,url,deal_score,tco_cost_per_km,avg_annual_tco,make,model,year,price,mileage,composite_score,estimated_resale_after_period,scraped_date,tco_purchase_tax,tco_total_depreciation_over_period,tco_avg_annual_depreciation,tco_estimated_resale_value_after_period,tco_total_fuel_cost_over_period,tco_avg_annual_fuel_cost,tco_fuel_price_used_per_l,tco_fuel_consumption_l_100km_used,tco_total_maintenance_over_period,tco_avg_annual_maintenance,tco_total_insurance_over_period,tco_avg_annual_insurance,tco_listing_price,tco_total_tco_plus_tax_over_period,tco_avg_annual_tco_plus_tax,tco_tco_calculation_years,tco_reliability_qir,tco_reliability_defect_rate,tco_remaining_lifespan_km
honda_civic_2007_900.0_293,https://www.facebook.com/marketplace/item/1151203839656587/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,10.25,0.8997541200000001,$13496.31,honda,civic,2007,$900.00,280000,0.748333333,$531.44,2025-05-17,$117.00,$368.56,$73.71,$531.44,$8208.00,$1641.60,$1.52,7.2,$49788.00,$9957.60,$9000.00,$1800.00,$900.00,$67481.56,$13496.31,5.0,$83.00,16.0,20000.0
honda_accord_2008_5000.0_89,https://www.facebook.com/marketplace/item/679216714860003/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,10.18,0.9006073333333334,$13509.11,honda,accord,2008,$5000.00,260000,0.794166667,$2952.45,2025-05-17,$650.00,$2047.55,$409.51,$2952.45,$9804.00,$1960.80,$1.52,8.6,$46044.00,$9208.80,$9000.00,$1800.00,$5000.00,$67545.55,$13509.11,5.0,$88.00,14.0,40000.0
toyota_corolla_2003_1600.0_228,https://www.facebook.com/marketplace/item/823458912922964/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,10.01,0.9020055466666667,$13530.08,toyota,corolla,2003,$1600.00,279000,0.701666667,$944.78,2025-05-17,$208.00,$655.22,$131.04,$944.78,$7752.00,$1550.40,$1.52,6.8,$50035.20,$10007.04,$9000.00,$1800.00,$1600.00,$67650.42,$13530.08,5.0,$82.00,20.0,21000.0
toyota_camry_2009_4900.0_166,https://www.facebook.com/marketplace/item/2530469027296370/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,9.93,0.9030453200000002,$13545.68,toyota,camry,2009,$4900.00,338000,0.797916667,$2893.40,2025-05-17,$637.00,$2006.60,$401.32,$2893.40,$9576.00,$1915.20,$1.52,8.4,$46508.80,$9301.76,$9000.00,$1800.00,$4900.00,$67728.40,$13545.68,5.0,$95.00,17.0,0.0
toyota_prius_2010_7300.0_190,https://www.facebook.com/marketplace/item/992071856041818/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,9.91,0.9033283066666665,$13549.92,toyota,prius,2010,$7300.00,353000,0.812916667,$4310.58,2025-05-17,$949.00,$2989.42,$597.88,$4310.58,$8664.00,$1732.80,$1.52,7.6,$46147.20,$9229.44,$9000.00,$1800.00,$7300.00,$67749.62,$13549.92,5.0,$98.00,17.0,0.0
honda_civic_2010_4500.0_237,https://www.facebook.com/marketplace/item/1259242056209615/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,9.77,0.9047706,$13571.56,honda,civic,2010,$4500.00,315000,0.808333333,$2657.21,2025-05-17,$585.00,$1842.79,$368.56,$2657.21,$8208.00,$1641.60,$1.52,7.2,$48222.00,$9644.40,$9000.00,$1800.00,$4500.00,$67857.79,$13571.56,5.0,$95.00,16.0,0.0
honda_civic_2008_1100.0_194,https://www.facebook.com/marketplace/item/1732805697342125/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,9.53,0.9069528133333334,$13604.29,honda,civic,2008,$1100.00,300000,0.758333333,$649.54,2025-05-17,$143.00,$450.46,$90.09,$649.54,$8208.00,$1641.60,$1.52,7.2,$50220.00,$10044.00,$9000.00,$1800.00,$1100.00,$68021.46,$13604.29,5.0,$85.00,16.0,0.0
honda_civic_2009_1950.0_250,https://www.facebook.com/marketplace/item/1765904240972798/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,9.21,0.91018726,$13652.81,honda,civic,2009,$1950.00,315000,0.773333333,$1151.46,2025-05-17,$253.50,$798.54,$159.71,$1151.46,$8208.00,$1641.60,$1.52,7.2,$50004.00,$10000.80,$9000.00,$1800.00,$1950.00,$68264.04,$13652.81,5.0,$88.00,16.0,0.0
honda_accord_2006_3850.0_287,https://www.facebook.com/marketplace/item/1615822302462148/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,9.0,0.9122548466666667,$13683.82,honda,accord,2006,$3850.00,245000,0.762916667,$2273.39,2025-05-17,$500.50,$1576.61,$315.32,$2273.39,$9804.00,$1960.80,$1.52,8.6,$47538.00,$9507.60,$9000.00,$1800.00,$3850.00,$68419.11,$13683.82,5.0,$88.00,17.0,55000.0
audi_a5_2014_7998.0_238,https://www.facebook.com/marketplace/item/703405692638644/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,8.95,0.9128186797333334,$13692.28,audi,a5,2014,$7998.00,194000,0.777083333,$4722.74,2025-05-17,$1039.74,$3275.26,$655.05,$4722.74,$10260.00,$2052.00,$1.52,9.0,$44886.40,$8977.28,$9000.00,$1800.00,$7998.00,$68461.40,$13692.28,5.0,$95.00,19.0,106000.0
honda_civic_2008_2000.0_175,https://www.facebook.com/marketplace/item/1071264984881947/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,8.88,0.9134269333333334,$13701.40,honda,civic,2008,$2000.00,300000,0.758333333,$1180.98,2025-05-17,$260.00,$819.02,$163.80,$1180.98,$8208.00,$1641.60,$1.52,7.2,$50220.00,$10044.00,$9000.00,$1800.00,$2000.00,$68507.02,$13701.40,5.0,$85.00,16.0,0.0
honda_accord_2005_4600.0_205,https://www.facebook.com/marketplace/item/3281131908692568/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,8.41,0.9180819466666668,$13771.23,honda,accord,2005,$4600.00,232000,0.7425,$2716.25,2025-05-17,$598.00,$1883.75,$376.75,$2716.25,$9804.00,$1960.80,$1.52,8.6,$47570.40,$9514.08,$9000.00,$1800.00,$4600.00,$68856.15,$13771.23,5.0,$86.00,18.0,68000.0
honda_accord_2008_3200.0_75,https://www.facebook.com/marketplace/item/9927808014006266/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,7.99,0.9224590933333333,$13836.89,honda,accord,2008,$3200.00,285000,0.794166667,$1889.57,2025-05-17,$416.00,$1310.43,$262.09,$1889.57,$9804.00,$1960.80,$1.52,8.6,$48654.00,$9730.80,$9000.00,$1800.00,$3200.00,$69184.43,$13836.89,5.0,$88.00,14.0,15000.0
